osm,name,names,keys,power,operator,voltage_kv,max_kv,lat,lon
way/1265857519,Mallow Hospital,Mallow Hospital | 022858,MALLOW HOSPITAL | 022858,substation,ESB Networks,10;0.4;0.23,10.0,52.1509823,-8.6627286
way/501105171,Mallusk 33kV Substation,Mallusk 33kV Substation,MALLUSK,substation,NIE Networks,33,33.0,54.67432,-5.9855778
way/1041844309,Malone 33 kV Substation,Malone 33 kV Substation,MALONE,substation,NIE Networks,33,33.0,54.5813384,-5.9494641
way/1044291803,Manor Street 38 kV Substation,Manor Street 38 kV Substation,MANOR STREET,substation,ESB Networks,38,38.0,52.2554312,-7.1122221
way/231938123,Manorhamilton 38 kV Substation,Manorhamilton 38 kV Substation,MANORHAMILTON,substation,ESB Networks,38,38.0,54.2930979,-8.1746294
way/773119702,Marina 110kV Substation,Marina 110kV Substation | Centre Park Road Substation,MARINA | CENTRE PARK ROAD,substation,EirGrid,110;10,110.0,51.8991554,-8.4461681
way/744980109,Markethill 33kV Substation,Markethill 33kV Substation,MARKETHILL,substation,NIE Networks,33,33.0,54.2886316,-6.5142167
way/437449556,Marrowbone Lane,Marrowbone Lane,MARROWBONE LANE,substation,ESB Networks,10,10.0,53.3383347,-6.2868485
way/437449555,Marrowbone Lane 38kV Radio Site,Marrowbone Lane 38kV Radio Site,MARROWBONE LANE RADIO SITE,substation,ESB Networks,38,38.0,53.3394787,-6.2860831
way/454641896,Marsh Road 38kV Substation,Marsh Road 38kV Substation,MARSH ROAD,substation,ESB Networks,38;10,38.0,53.7145798,-6.3361698
way/265776920,Marshes 38kV Substation,Marshes 38kV Substation,MARSHES,substation,ESB Networks,38;10,38.0,53.9791711,-6.3890375
relation/15328648,Mauricetown Wind Farm,Mauricetown Wind Farm | Ashford Wind Farm,MAURICETOWN WIND FARM | ASHFORD WIND FARM,plant,Highfield Energy,,,52.3436466,-9.040537
way/1051116349,Maydown 33kV Substation,Maydown 33kV Substation,MAYDOWN,substation,NIE Networks,33,33.0,55.0289395,-7.2561402
way/104879388,Mayfield 38 kV Substation,Mayfield 38 kV Substation,MAYFIELD,substation,ESB Networks,38,38.0,51.9178364,-8.4251943
way/88462768,Maynooth 220kV Substation,Maynooth 220kV Substation | Taghadoe Substation,MAYNOOTH | TAGHADOE,substation,EirGrid,220;110;20,220.0,53.3485768,-6.6019851
way/440173457,McDermott 110kV Substation,McDermott 110kV Substation,MCDERMOTT,substation,EirGrid,110;38;10,110.0,53.3543732,-6.2509463
way/1009735638,McDonagh 38 kV Substation,McDonagh 38 kV Substation,MCDONAGH,substation,ESB Networks,38;10,38.0,52.6545384,-7.2410233
way/266249997,Meath Hill 110kV Substation,Meath Hill 110kV Substation,MEATH HILL,substation,EirGrid,110;38,110.0,53.8911239,-6.7310796
way/445423151,Meath Waste-to-Energy,Meath Waste-to-Energy,MEATH WASTE TO ENERGY,plant,Indaver,,,53.6768458,-6.3919397
